tituloTrabajo,tipoTrabajo,empresa,localizacion,fechaPublicacion,aptoDiscapacitado,detalle,confidencial,idEmpresa,promedioEmpresa,idArea,idSubarea,idPais,modalidadTrabajo,cantidadVacantes,id,tipoAviso,cargoTrabajo,subareaTrabajo,localizacionTrabajo,skill_keywords
MARKETING Y GESTIÓN COMERCIAL,Full-time,Confidencial,"Miraflores, Lima",15-08-2023,No,Oportunidad para jóvenes profesionales en búsqueda de crecimiento   Únete a nuestro equipo como TRAINEE DE NEGOCIOS en una reconocida compañía multinacional que es parte de Great Place To Work y comienza a trazar tu línea de carrera   Qué buscamos  Actitud positiva y ganas de aprender  Si eres autónomo  proactivo  disciplinado y responsable   eres la persona que estamos buscando  Formación profesional en áreas como Administración  Ingeniería Industrial  Recursos humanos  Administracion Marketing o afines al área comercial  Tu conocimiento será clave para impulsar el éxito de nuestros proyectos   Te consideras una persona sociable y con habilidades para la negociación   Aprovecha tus habilidades interpersonales y únete a nuestro equipo  Tu misión  Prospectar  seleccionar  evaluar y adjudicar cupos a futuros prospectos   Serás el protagonista de nuestra estrategia de crecimiento   Qué te ofrecemos  Contratación directa con la organización  con todos los beneficios sociales y estabilidad laboral  Un completo programa de entrenamiento que te proporcionará las herramientas necesarias para alcanzar tus objetivos y superar desafíos  En nuestra empresa  tendrás la oportunidad de hacer línea de carrera y alcanzar tus metas profesionales  Si eres un joven profesional entre 2 4 a 3 4 años y estás listo para embarcarte en un emocionante viaje hacia el éxito   no dudes en postular  Estamos ansiosos por conocerte y contar contigo en nuestro equipo   Juntos alcanzaremos grandes logros,No,10164728,,17,2565,11,Presencial,5,1115954350,simple,Otros,Otros,Lima,"['administración', 'ingeniería']"
Asistente De Oficina Para RR.HH,Full-time,CONSULTORIA DE NEGOCIOS,"Los Olivos, Lima",15-08-2023,No,Las actividades es para el área de Recursos Humanos  la cual vamos a manejar labores de oficina administrativas Con o sin experiencia  FUNCIONES  Manejo de publicidad Manejo de archivos Manejo de llamadas telefónicas Medios masivos Seleccion y supervisión de personas ENTRE OTRAS ACTIVIDADES Con el apoyo de un Asesor   Buena Actitud  para poder fomentar un buen clima laboral  Línea de Carrera  opciónal  Las actividades es de Medio tiempo  y los ingresos van de     a    aprox  soles semanales  previa conversación en una entrevista presencial  CON CONTRATO,No,13413834,,17,2565,11,Presencial,1,1115955098,freemium,Asistente,Otros,Lima,[]
Practicante de Gestión del Talento,Full-time,Caña Brava,"Sullana, Piura",15-08-2023,No,Objetivo  Brindar apoyo en los diferentes procesos del área de Gestión del Talento  tales como selección  gestión de clima y cultura laboral  de acuerdo a las necesidades de la organización  con el fin de contribuir con el cumplimiento de los objetivos  Requisitos  Profesional egresado o bachiller en Psicología  Experiencia minina de 3 meses en selección de personal  procesos de Talento  Capacitación y Desarrollo  Conocimiento básico en ofimática,No,13243306,5.0,17,2565,11,Presencial,1,1115955380,simple,Practicante,Talento,Piura,['psicología']
Asistente de Planilla,Full-time,CENTRO ODONTOLOGICO AMERICANO,"San Isidro, Lima",15-08-2023,Si,Desde que pusimos nuestra primera clínica en 1990  estábamos apostando por el bienestar de los peruanos  desde dónde sabíamos que podíamos tener más impacto dado nuestro expertise  la odontología  Fuimos los primeros en apostar por ofrecer nuestros servicios en las diferentes regiones del país y en atrevernos a negociar con todas las compañías de seguros en el Perú  para facilitar a cada vez más peruanos el acceso a la salud bucal de calidad  El COA contribuye al bienestar integral de sus pacientes  a partir de servicios odontológicos que priorizan su experiencia en todas las interacciones posibles con su equipo  y que se basan en la agilidad  calidad  accesibilidad y confianza  Destacamos por ser la red odontológica más grande a nivel nacional  con procesos estandarizados y ser pioneros en protocolos de bioseguridad  avalados con Certificación ISO 9001  También  fuimos los primeros en garantizar todas las especialidades en nuestras sedes por medio del intercambio de especialistas  En COA nos encontramos en la búsqueda de un TALENTO que cumpla con las siguientes funciones  Apoyo en la elaboración y analisis de la planilla  Registro de vacaciones  Encargado del proceso de liquidaciones  Control y registros de descuentos al personal  examenes  tarjetas  etc   Manejo de PDT PLANE y AFP NET  Otras funciones que le asigne su Jefe Inmediato  Requisitos  Egresado o Bachiller de Contabilidad  Experiencia en planilla o recursos humanos  1año  Dominio de Microsoft office  Excel   intermedio avanzado  Disponibilidad de trabajar 48 horas semanales Disponibilidad de trabajar en San Isidro  Beneficios Planilla completa desde el primer día  Vacaciones  SCTR  VIDA LEY  Descuentos corporativos  Pertenecer a una empresa lider en el rubro odontológico que forma parte del grupo CREDICORP,Si,13278702,,17,2567,11,Presencial,1,1115955530,simple,Asistente,Planillas,Lima,"['contabilidad', 'vacaciones', 'afp', 'excel']"
ASISTENTE DE REMUNERACIONES,Full-time,Confidencial,"Santiago de Surco, Lima",15-08-2023,No,Prestigiosa universidad se encuentra en la búsqueda del mejor talento para la posición de ASISTENTE DE REMUNERACIONES Requisitos  Egresado técnico o universitario de las carreras de Administración  Contabilidad o afines  Microsoft Office  intermedio   Manejo de los sistemas de la SUNAT  AFP  Conocimiento de Legislación Laboral y tributaria  Experiencia de 2 años en puestos similares  Funciones  Control y seguimiento en la renovación de los contratos del personal de las planillas y del registro del vida ley en el sistema del Mintra   Generar y hacer entrega de constancias  cartas  certificados y otros documentos a solicitud de los trabajadores  Registrar los ingresos adicionales y descuentos generados en el mes en el sistema de planillas  Apoyo en el control de asistencia de personal y en la elaboración de reportes e indicadores de gestión  Apoyar en los procesos administrativos relacionados al ingreso de nuevos colaboradores  Generar los reportes mensuales del cierre contable y PDT  Beneficios  Salario acorde al mercado  EPS cubierta al 85   Beneficios corporativos  Capacitaciones constantes,No,10002815,,17,2567,11,Presencial,1,1115955527,simple,Asistente,Planillas,Lima,"['contratos', 'contabilidad', 'administración', 'asistencia', 'eps', 'afp', 'indicadores']"
Analista de Nóminas,Full-time,Grupo Tawa,"Miraflores, Lima",15-08-2023,No,En Grupo Tawa nos encontramos en la búsqueda de  Analista de Nóminas con el siguiente perfil  Requisitos  Profesional Universitario a de las carrera de Contabilidad  deseable  Experiencia de 2 años en analisis y procesamiento de nóminas  cálculo de planillas  analisis contables de forma individual Experiencia manejando 5 0 0 colaboradores en nóminas Experiencia procesando hasta 5 clientes cuentas razones sociales  deseable  Sólidos conocimientos de políticas y procedimientos  legislación laboral   Régimen laboral Conocimientos de sistemas de nóminas Office a nivel intermedio Avanzado  Rubro  Automotriz   Laboratorios Funciones  Cargar  procesar y revisar al 1 0 0  la planilla de remuneraciones  mensuales  gratificaciones  utilidades  CTS  Multicuentas  Emisión de medios de pago de los procesos mensuales  Procesar  emitir  analizar y validar el asiento de nómina y provisiones mensuales  Generación y elaboración de reportes propios del cliente  Proceso  validación y emisión de archivos de conciliación de AFP y PLAME mensuales  Absolver consultas de clientes asignados  Otras funciones que le sean asignadas  Ofrecemos  Remuneración acorde al mercado Alimentación   movilidad Trabajo mixto  remoto y presencial  Beneficios de Ley EPS 1 0 0  Oportunidad de crecimiento Grato ambiente laboral,No,10071318,4.0,17,2567,11,Presencial,1,1115954902,simple,Analista,Planillas,Lima,"['gratificaciones', 'contabilidad', 'utilidades', 'cts', 'cuentas', 'eps', 'afp', 'plame']"
Analista de Remuneraciones / SAP R3 Success Factors,Full-time,Inchcape Perú ,Lima,15-08-2023,No,Inchcape es el distribuidor y minorista automotriz independiente líder con escala global  Operamos en 36 países agrupando a   1 5 000 colaboradores alrededor del mundo  Nuestro propósito es llevar movilidad a las comunidades del mundo  para hoy  para mañana y para mejor  Para desarrollar nuestra estrategia  analizamos en profundidad el mundo en el que vivimos y operamos  trabajando con todas las partes interesadas de Inchcape para obtener una visión de 360 grados de nuestro negocio y el entorno que nos rodea  Identificamos las oportunidades estratégicas para nuestro negocio y reflexionamos sobre las mega tendencias que afectan a nuestra industria  especialmente en la forma en que nuestros socios OEM ven estos desarrollos   Únete a nosotr s para ser parte de este desafío  Objetivo del Puesto  Administrar el flujo de pago de remuneraciones  aportaciones y obligaciones que corresponden a trabajadores de la organización con la finalidad de garantizar el cumplimiento de las normativas legales vigentes  Funciones del Puesto    Administrar integralmente el pago de las remuneraciones y obligaciones derivadas de la planilla de trabajadores  desde la recopilación de la información necesaria hasta la generación de las órdenes de pago  con la finalidad de garantizar el pago oportuno y eficiente de las remuneraciones y de las obligaciones derivadas de la planilla    Validar que los conceptos de la planilla estén correctamente clasificados de acuerdo al plan contable de la compañía  con la finalidad de realizar el control de presupuesto    Realizar las gestiones necesarias para la implementación de los cambios legales y tributarios en los conceptos asociados a remuneraciones  con la finalidad de cumplir con todos los requerimientos y obligaciones legales vigentes    Representar a la compañía en las inspecciones del Ministerio de Trabajo y del área ante auditorias  internas y externas  preparando la documentación necesaria  a fin de que se realicen satisfactoriamente y cumplir con las normativas nacionales vigentes    Realizar las compensaciones necesarias de las cuentas contables  a fin de asegurar la correcta distribución del gasto  es decir  validar que todos los archivos operativos reflejen en la contabilidad  Realizar el análisis de las cuentas contables     Administrar y gestionar el presupuesto de gastos relacionados a las cuentas de remuneraciones  a fin de mantener control sobre el empleo de estas    Proponer e implementar proyectos de mejora de procesos del área como integración de sistemas  Requisitos del Puesto    Egresado a  técnico o universitario de las carreras de Contabilidad  Ingeniería Industrial  Administración  Economía  afines    03 a 05 años de experiencia en confección de nómina input  cálculo  declaraciones y conciliaciones contables    Conocimientos contables y payroll    Conocimientos sólidos en cálculo de nómina manual    Especialización o cursos relacionados a Legislación Laboral  Relaciones Laborales y Recursos Humanos    Manejo del idioma inglés intermedio    Microsoft Office Avanzado   ERP SAP R3 HC  indispensable    Success Factors  indispensable    Disponibilidad para trabajar por proyecto de 06 meses de lunes a viernes de 8 00 am a 6 00 pm en oficinas de Surco,No,1562630,4.71,17,2567,11,Híbrido,1,1115954467,simple,Analista,Planillas,Lima,"['contabilidad', 'inglés', 'administración', 'economía', 'cuentas', 'ingeniería', 'erp', 'sap']"
Formador en televentas - Capacitador,Full-time,SGS del Perú,"Callao, Lima",15-08-2023,No,Responsable del entrenamiento al sector Telecomunicaciones  Ciudad Lima     Brindar capacitaciones técnico comerciales  habilidades blandas y estructuras comerciales    Responsable de emitir su reportería al Líder de Gestión    Elaboración de contenidos de capacitación  según requerimiento del cliente y lineamientos de servicio  Requisitos   Egresado a   o estudios en curso de las carreras técnicas o universitarias de Administración o afines    Manejo de Oferta Comercial y Protocolos Telecomunicaciones    Experiencia superior a 1 año como entrenador    Manejo de herramientas digitales y técnicas de entrenamiento    Manejo de Power Point y Excel nivel intermedio    Disponibilidad para trabajar de manera remota y presencial en punto del cliente  esporádico,No,1702390,4.06,17,2566,11,Híbrido,1,1115955336,simple,Capacitador,Capacitación,Lima,"['administración', 'power point', 'excel']"
Analista de Reclutamiento y Selección - Masivos - Lima,Full-time,Confidencial,Perú,15-08-2023,No,Requisitos    Bachiller de las carreras de Psicología  Gestión de RRHH y o afines    3 años de experiencia  liderando los procesos de reclutamiento y selección  para posiciones masivas  Indispensable     Manejo de equipos de trabajo  asistentes y practicantes de selección de personal  Funciones    Liderar los procesos masivos de la operación de inicio a fin   Desde la recepción del Requerimiento hasta la firma de contrato     Entrevista por competencias    Ingresar al sistema los datos del personal evaluado del día  teniendo en cuenta la importancia para los indicadores del área    Elaboración y diligenciamiento de los legajos de personal    Asistir a reuniones del área para ver los avances o acciones de mejora o planificaciones ante grandes instalaciones    Disponibilidad para trabajo de campo  Condiciones    Planilla en régimen general  con beneficios al 100     Pagos puntuales,No,13073204,,17,2565,11,Presencial,1,1115954808,simple,Analista,Reclutamiento,Lima,"['psicología', 'indicadores']"
Analista Senior Selección Masivo,Full-time,DIRECCION ESTRATEGICA S.A.C.,"Lima, Lima",15-08-2023,No,Nuestro cliente nos ha confiado la búsqueda del mejor talento para cubrir la posición de un Analista de Selección  masivo     Gestionar los procesos de reclutamiento y selección en función a los objetivos y estrategias de la empresa    Controlar la actividades dentro de su departamento    Supervisar la programación de requerimiento de personal    Elaborar reportes de avances a la jefatura    Coordinar y supesrvisar la ejecucióno de las inducciones en todos los servicios de la compañía    Reportar a la gerencia los indicadores del área    Revisar y reportar las variables del área par el pago del personal  Formación  Egresado concluido de Administración  Psicología  Marketing  Comunicaciones o carrreras afines Especialización  Gestión del Talento Humano Conocimientos  Indicadores de Recursos Humanos Experiencia previa mínima en el área funcional  entre 4 a 5 años,No,1149310,,17,2565,11,Presencial,1,1115954804,simple,Analista,Reclutamiento,Lima,"['psicología', 'administración', 'indicadores']"
Analista de selección y Desarrollo,Full-time,SUIZA ALERTA,Lima,15-08-2023,Si,Somos Suiza Alerta  una empresa creada con el propósito de desarrollar y brindar servicios especializados en materia de medicina pre hospitalaria  a través de la cobertura de emergencias médicas  servicio médico empresarial  eventos corporativos  implementación de tópicos médicos  atención médica domiciliaria y traslados de pacientes en ambulancias de diversas complejidades  Actualmente nos encontramos en búsqueda del mejor talento para asumir el cargo de ANALISTA DE SELECCION Y DESARROLLO Requisitos  Bachiller o titulado en Psicología   Contar con 2 años como mínimo en el puesto  Contar con conocimiento de evaluación de desempeño  capacitación  Inducción De preferencia   Excel a nivel Intermedio  Funciones  Publicación de puestos en las Bolsas de trabajo e Instituciones  Filtro de Cvs Aplicación  calificación e interpretación de instrumentos psicológicos a los postulantes  Elaboración de informes psicolaborales y presentación de ternas  Mantenimiento de files de personal con la documentación requerida de acuerdo al puesto  Elaborar reportes de selección mensual  Coordinar la elaboración y entrega de Fotocheck y tarjeta de proximidad a los colaboradores  Elaborar los contratos de inicio de personal nuevo en Planilla y Recibo por honorarios  Realizar el correcto llenado de los formatos del área  Efectuar la convocatoria o reclutamiento externo en los diferentes medios como portales web  institutos  universidades entre otros  Desempeñar las demás funciones asignadas por el área de Recursos Humanos   Beneficios  Buen CLima laboral Ingreso a planilla desde el primer dia de ingreso con todos los beneficios de acuerdo a Ley  Oportunidad de pertenecer a una empresa lider en su rubro y en constante crecimiento  Capacitaciones constantes,Si,1485130,2.67,17,2565,11,Presencial,1,1115954784,simple,Analista,Reclutamiento,Lima,"['psicología', 'contratos', 'excel']"
"Analista de selección, capacitación y desarrollo",Full-time,World Vision,"Jesús María, Lima",15-08-2023,No,World Visión es una organización cristiana internacional de desarrollo  dedicada a trabajar con la niñez  sus familias y comunidades para reducir la pobreza y la injusticia  Buscamos que las niñas y niños estén protegidos  que desarrollen su potencial y participen como agentes de cambio para su comunidad  Buscamos un a  profesional que comparta nuestros valores institucionales  con alto nivel de liderazgo personal y habilidades para gestionar el cambio de forma innovadora y eficiente  de esta forma pueda ocupar el puesto de  Analista de gente y cultura Propósito del Puesto Realizar mejoras  implementación y  o actualización del procedimiento así como liderar procesos de desarrollo de talento y capacitación de personal a nivel Lima y provincias  Liderar los procesos de reclutamiento y selección de personal a nivel nacional garantizando la calidad y cumplimiento del proceso establecido   Qué retos tenemos para ti  Liderar los procesos de Reclutamiento y Selección a nivel nacional para garantizar la incorporación de personal calificado y afín a la cultura empresarial  Realizar el proceso de reclutamiento y selección de jefaturas  coordinadores  gerencias  Elaborar  implementar  actualizar y o contextualizar los procedimientos de Reclutamiento y Selección a nivel nacional asi como también de capacitación y o desarrollo  Gestionar los procesos de Reclutamiento y Selección de todas las regiones  Monitorear  analizar y reportar el avance de los indicadores del talento Asegurar el monitoreo de los procesos de capacitación interna del personal a nivel nacional  Desarrollar y monitorear la inducción general de los nuevos colaboradores  Apoyar en el monitoreo y revisión de las solicitudes de capacitación externa del personal a nivel nacional Garantizar la aplicación de las políticas y procedimientos internos de capacitación interna y o externa Nos gustaría quetengas los siguientes requisitos Bachiller o licenciado en psicología  excluyente  02 años de experiencia en el cargo de analista o posiciones de mayor o similar jerarquía  excluyente   Experiencia mínima de 2 años en monitoreo  análisis y reporte del avance de los indicadores del talento humano Experiencia mínima de 2 años liderando procesos de reclutamiento y selección teniendo a cargo de 2 a más personas Experiencia en el reclutamiento y selección de jefaturas  coordinadores  gerencias  Experiencia mínima de 1 año en monitoreo del cumplimiento y ejecución de procesos de capacitación y desarrollo  Disponibilidad para laborar de manera presencial en Jesús Maria World Vision te ofrece Ingreso a planilla desde el primer día de labores  Seguro vida ley  Beneficios Institucionales  Capacitaciones  Grato ambiente laboral,No,10215223,4.2,17,2565,11,Presencial,1,1115954782,simple,Capacitador,Reclutamiento,Lima,"['psicología', 'indicadores']"
Consultor de Selección (masivos),Full-time,Adecco,"Santiago de Surco, Lima",15-08-2023,No,Funciones  Levantar perfil con los clientes asignados e identificar la mejor estrategia de selección para el cliente  Realizar el proceso de reclutamiento y selección de inicio a fin  Responsable de liderar las entrevistas por competencias con el fin de elegir al mejor candidato para la posición solicitada asi como la toma de pruebas psicométricas  Realizar informes y presentar la terna finalista al cliente  Gestionar el proceso de ingreso Análisis de indicadores para proponer estrategias de reclutamiento  Perfil  Bachiller o Titulado en Administración  Psicología  Ingeniería Industrial o afines  Contar con mínimo 2 años de experiencia en posiciones de Consultor  Conocimientos especificos de estrategias de Reclutamiento y Selección  Conocimientos Indispensables de Ingles Intermedio,No,1406100,3.57,17,2565,11,Híbrido,1,1115954518,simple,Consultor,Reclutamiento,Lima,"['psicología', 'administración', 'ingeniería', 'indicadores']"
Consultor de Selección,Full-time,Adecco,"Lima, Lima",15-08-2023,No,Funciones  Levantar perfil con los clientes asignados e identificar la mejor estrategia de selección para el cliente  Realizar el proceso de reclutamiento y selección de inicio a fin  Realizar hunting en casos de perfiles especializados  Responsable de liderar las entrevistas por competencias con el fin de elegir al mejor candidato para la posición solicitada asi como la toma de pruebas psicométricas  Realizar informes y presentar la terna finalista al cliente  Gestionar el proceso de ingreso Análisis de indicadores para proponer estrategias de reclutamiento  Perfil  Bachiller o Titulado en Administración  Psicología  Ingeniería Industrial o afines  Contar con mínimo 3años de experiencia en posiciones de Consultor  Conocimientos especificos de estrategias de Reclutamiento y Selección  Conocimientos Indispensables de Ingles Intermedio o Avanzado,No,1406100,3.57,17,2565,11,Remoto,1,1115954505,simple,Consultor,Reclutamiento,Lima,"['psicología', 'administración', 'ingeniería', 'indicadores']"
Asistente de Compensaciones y Desempeño,Full-time,CROSLAND ,"Lima, Lima",15-08-2023,Si,Crosland es una organización peruana con más de 60 años de experiencia en el mercado dentro del rubro Automotriz  dedicándonos a la comercialización de vehículos de dos y tres ruedas  Actualmente  nos encontramos en búsqueda de un Analista Junior de Compensaciones y Desempeño para que se incorpore a nuestra organización  Requisitos  Formación  Ing  Industrial  Economía  Administración o afines  Especialización o Posgrado en RH y o Compensaciones  Deseable  Experiencia de al menos 1 año en Compensaciones  Deseables conocimientos de Planillas  Excel a nivel avanzado  Power BI  Deseable  SAP  Deseable  Responsabilidades  Realizar el cálculo de bonos por desempeño semestral y anual para los diferentes negocios  Preparar informes de resultados de compensaciones para los diferentes negocios Desarrollar indicadores de gestión de recursos humanos semanales  mensuales y trimestrales para todos los procesos  Actualizar los rangos salariales anuales según la equidad interna y el análisis de mercado  Diseñar niveles organizativos y bandas salariales para todos los negocios  Mantener y actualizar los organigramas mensuales de todos los negocios de Crosland  Elaborar propuestas salariales y analizar bandas salariales por categoría de puesto  Gestionar ajustes salariales  cambios de puesto  movimientos de personal y otros en los diferentes negocios  Analizar  desarrollar y evaluar proyectos de RRHH para Crosland,Si,10071847,,17,2637,11,Híbrido,1,1115954957,simple,Asistente,Compensaciones,Lima,"['administración', 'economía', 'power bi', 'sap', 'indicadores', 'excel']"
Asistente de Gestión Humana - Tambogrande Piura,Full-time,SUNSHINE EXPORT,"Tambo Grande, Piura",15-08-2023,No,Sunshine Export S A C  empresa peruana líder en la exportación de mango y palta a nivel mundial  actualmente se encuentra en la búsqueda de un a profesional para que pueda desempeñarse como Asistente de Gestión Humana  Las funciones a realizar son las siguientes  Desarrollar y analizar los indicadores de Gestión Humana y Productividad  con la jefatura del área  que ayuden a medir las metas y cumplimiento de objetivos  Gestionar la operatividad y asistencia de los buses de traslado de personal  Revisar y controlar el presupuesto de Gestión Humana  Apoyar la gestión de proyectos y gestión del cambio de Recursos Humanos  Apoyar en los planes y procesos de atracción  selección y gestión del talento  Apoyar en la elaboración de los MOF  procedimientos  organigramas  flujogramas e instructivos  Realizar otras funciones designadas por la jefatura inmediata  Los requisitos para ocupar la posición son  Bachiller en Ingeniería Industrial o afines  Deseable procedencia del sector agroindustrial  Mínimo 1 año de experiencia en puestos similares  Conocimientos en matriz de indicadores de gestión Humana  Manejo de KPI´s de Recursos Humanos  Manejo de Excel Intermedio   Avanzado  Deseable manejo de Power BI  Beneficios  Ingreso directo a planilla en régimen general  Horario Administrativo  Alimentación cubierta al 70   Movilidad cubierta al 100  Beneficios de Ley  Oportunidad de aprendizaje y crecimiento en una de las empresas agroexportadoras más importantes del país  Sunshine Export es una empresa Socialmente Responsable  que a su vez fomenta la diversidad e inclusión  mostrando respeto a todos y todas  viviendo nuestros valores y propósito,No,10152106,4.33,17,48,11,Presencial,1,1115955492,simple,Asistente,Gestión Humana,Piura,"['asistencia', 'ingeniería', 'power bi', 'indicadores', 'excel']"
ASISTENTE RRHH – CONTRATOS,Full-time,Confidencial,"San Isidro, Lima",15-08-2023,No,Buscamos una persona con vocación por Recursos Humanos  con buena comunicación  proactividad  responsable  ordenado y dinámico  para formar parte de nuestro equipo  Deberá contar con por lo menos 3 años de experiencia en funciones de administración de personal  sólidos conocimientos en Contratos  y sus modalidades   control vacacional y de la custodia y mantenimiento actualizado de la información física y digital  Requisitos  De las carreras de Ingeniería Industrial  Administración o afines  Experiencia previa de 3 años en posiciones similares a la ofertada  Conocimiento de Microsoft Office a nivel a partir de intermedio avanzado  Conocimientos de legislación laboral vigentes  Manejo de indicadores de RRHH  Excelente Trato  Beneficios  Disponibilidad para laborar de lunes a viernes en San Isidro  Ingreso a planilla con todos los Beneficios de Ley  Responsabilidades Administrar  controlar y gestionar la vigencia de los contratos  Velar por el correcto resguardo y seguimiento documentario actualizado de los expedientes de legajo personal  Escaneo y archivamiento físico y digital de los documentos  Manejar un reporte diario de las actualizaciones de información  Trato amable con cada uno de nuestros clientes internos  brindando atención a las solicitudes  Armar y hacer seguimiento al plan anual de vacaciones  Atender los problemas laborales  Sunafil   MINTRA  otros  y de AFP  Controlar  tabular y presentar informes del control y Asistencia del personal  INDICAR PRETENSIONES ECONOMICAS DISPONIBILIDAD INMEDIATA,No,13182612,,17,48,11,Presencial,1,1115775966,simple,Asistente,Gestión Humana,Lima,"['contratos', 'administración', 'vacaciones', 'asistencia', 'ingeniería', 'afp', 'sunafil', 'indicadores']"
ASISTENTE DE RECURSOS HUMANOS - POS,Full-time,CAMARGOS CONTRATISTAS GENERALES SAC,"San Isidro, Lima",15-08-2023,No,Trabaja con nosotros y se parte de nuestro equipo CAMARGO GROUP  Somos una empresa con más de   de experiencia en diferentes sectores  y hoy nos encontramos en la búsqueda de talentos como tú  para cubrir el puesto de Asistente de Recursos Humanos  POS  Tus funciones serán    Realizar los procesos de selección y reclutamiento de personal    Desarrollo de entrevistas y seguimiento de candidatos    Buscar diversas fuentes de reclutamiento    Registro y seguimiento de operaciones    Otras funciones que se le asigne  Buscamos    Experiencia en reclutamiento para empresa de ventas  POS  IZIPAY  NIUBIZ  CULQUI    Bachiller de las carreras de Administración  Recursos Humanos  Psicología o afines   Deseable experiencia en puestos similares   Disponibilidad para realizar trabajo presencial Te ofrecemos    Buen clima laboral y la posibilidad de trabajar con los mejores del mercado   Pago bajo RxH al inicio   Buen clima laboral Requerimientos    Educación mínima  Egresado   Años de experiencia     Microsoft Excel  Intermedio   Edad    a   años,No,13369792,,17,48,11,Presencial,1,1115954934,freemium,Asistente,Gestión Humana,Lima,"['psicología', 'administración', 'excel']"
Coordinadora de RRHH y Administración,Full-time,Proexsecurity,"Ate., Lima",15-08-2023,No,Empresa de servicios de seguridad y vigilancia privada en búsqueda de los mejores profesionales para el puesto de Coordinador de RRHH  especialista en reclutamiento y retención de personal   PERFIL  Licenciado a  en Psicología  Administración o afines  Mínimo  año de experiencia en reclutamiento masivo y o  años a más realizando funciones similares   Indispensable experiencia en empresas de seguridad  Predisposición para hacer reclutamiento en campo de manera eventual   Indispensable   Capacitaciones en Recursos Humanos  planillas  legislación laboral  Estudios de Especialización en Recursos Humanos  FUNCIONES  Implementar y coordinar procesos de cobertura de vacantes  Supervisar al equipo de trabajo  Realizar estrategias y acciones enfocadas en la Retención del Talento  Reportar indicadores a la Gerencia  Levantar perfiles del puesto  Realizar trabajo de reclutamiento en campo eventualmente  Elaborar y actualizar la dotación de personal requerido para el servicio  cumpliendo las normas legales  de seguridad y requerimientos del cliente  Elaborar  gestionar y enviar la información laboral del personal activo  asistencia  vacaciones  horas extras  descansos médicos  permisos  horas extras  ceses  etc    Validar la planilla de pago  Vacaciones  horas extras  días libres ausentismo  control de asistencia  tareo  de obreros y empleados  renta de quinta categoría  liquidaciones de beneficios sociales  CTS y gratificación  Realizar los procesos de selección de personal  de acuerdo a la necesidad del proyecto y de sus áreas  reclutamiento y selección   Realizar los procesos de selección de personal  de acuerdo a la necesidad del proyecto y de sus áreas  Proponer oportunamente y coordinar el reconocimiento en casos de logros del personal que promueva la mejora del clima laboral  así como la aplicación de sanciones en los casos disciplinarios  de acuerdo con el reglamento interno de trabajo y los dispositivos legales vigentes  Experiencia realizando diligencias ante autoridades laborales  conciliaciones  inspecciones laborales  etc    Conocimiento y aplicación de legislación laboral y administración de personal  indispensable   Representante de la empresa ante inspecciones y o fiscalizaciones de SUNAFIL   conocimiento indispensable   Conocimiento de trámite y recupero de Subsidios EsSalud  viva salud   Manejo de Office a nivel intermedio  Elaboración y gestión de contratos de trabajo  T registro  CONOCIMIENTOS  Haber realizado capacitaciones en habilidades blandas   Indispensable  Enfocado a  y con experiencia en entrevistas por competencias individuales y grupales  Conocimiento y coordinación con diferentes puntos de reclutamiento  Haber realizado HEAD HUNTING   De preferencia  Ofrecemos    Ingreso a una empresa con oportunidad de línea de carrera    Además del ingreso a planilla con los beneficios de ley    Crecimiento profesional   Grato clima laboral,No,13406884,,17,48,11,Presencial,1,1115955119,freemium,Coordinador,Gestión Humana,Lima,"['psicología', 'contratos', 'cts', 'administración', 'vacaciones', 'asistencia', 'tareo', 'subsidios', 'sunafil', 'essalud', 'indicadores']"
